Estudiante;Materia 1;Materia 2;Materia 3;Materia 4;Materia 5
Estudiante 498;0,0;0,0;0,0;0,0;5,0
Estudiante 499;4,0;0,0;1,0;2,0;0,0
Estudiante 500;2,0;4,0;1,0;4,0;3,0
Estudiante 501;3,0;5,0;3,0;3,0;0,0
Estudiante 502;4,0;1,0;2,0;1,0;3,0
Estudiante 503;4,0;2,0;0,0;1,0;5,0
Estudiante 504;4,0;4,0;5,0;2,0;3,0
Estudiante 505;1,0;0,0;4,0;1,0;1,0
Estudiante 506;0,0;3,0;4,0;1,0;1,0
Estudiante 507;0,0;4,0;3,0;4,0;2,0
Estudiante 508;0,0;3,0;5,0;1,0;5,0
Estudiante 509;0,0;2,0;1,0;0,0;3,0
Estudiante 510;5,0;1,0;2,0;1,0;5,0
Estudiante 511;1,0;0,0;5,0;3,0;1,0
Estudiante 512;5,0;4,0;5,0;1,0;2,0
Estudiante 513;5,0;0,0;4,0;5,0;0,0
Estudiante 514;2,0;4,0;5,0;1,0;2,0
Estudiante 515;0,0;4,0;3,0;3,0;4,0
Estudiante 516;4,0;4,0;0,0;2,0;3,0
Estudiante 517;4,0;5,0;2,0;0,0;1,0
Estudiante 518;5,0;2,0;4,0;4,0;4,0
Estudiante 519;3,0;5,0;5,0;2,0;2,0
Estudiante 520;0,0;1,0;4,0;2,0;1,0
Estudiante 521;0,0;2,0;3,0;0,0;1,0
Estudiante 522;1,0;3,0;1,0;1,0;2,0
Estudiante 523;4,0;3,0;5,0;4,0;3,0
Estudiante 524;2,0;3,0;1,0;2,0;0,0
Estudiante 525;3,0;1,0;2,0;4,0;1,0
Estudiante 526;0,0;4,0;4,0;0,0;0,0
Estudiante 527;0,0;1,0;4,0;1,0;3,0
Estudiante 528;2,0;5,0;5,0;3,0;4,0
Estudiante 529;2,0;3,0;5,0;3,0;0,0
Estudiante 530;4,0;1,0;2,0;1,0;4,0
Estudiante 531;3,0;2,0;1,0;1,0;5,0
Estudiante 532;5,0;5,0;0,0;3,0;2,0
Estudiante 533;5,0;3,0;1,0;0,0;2,0
Estudiante 534;4,0;5,0;2,0;2,0;0,0
Estudiante 535;1,0;3,0;4,0;1,0;5,0
Estudiante 536;0,0;1,0;2,0;0,0;3,0
Estudiante 537;4,0;2,0;4,0;1,0;4,0
Estudiante 538;2,0;3,0;4,0;5,0;3,0
Estudiante 539;3,0;3,0;2,0;2,0;4,0
Estudiante 540;4,0;1,0;1,0;0,0;3,0
Estudiante 541;2,0;5,0;3,0;4,0;3,0
Estudiante 542;3,0;2,0;3,0;1,0;2,0
Estudiante 543;2,0;5,0;5,0;5,0;4,0
Estudiante 544;5,0;3,0;2,0;4,0;5,0
Estudiante 545;3,0;3,0;0,0;5,0;4,0
Estudiante 546;5,0;1,0;4,0;4,0;1,0
Estudiante 547;2,0;0,0;5,0;3,0;4,0
Estudiante 548;3,0;5,0;4,0;2,0;4,0
Estudiante 549;4,0;0,0;0,0;2,0;0,0
Estudiante 550;4,0;0,0;1,0;3,0;4,0
Estudiante 551;2,0;1,0;2,0;2,0;2,0
Estudiante 552;1,0;4,0;5,0;4,0;1,0
Estudiante 553;2,0;0,0;2,0;0,0;1,0
Estudiante 554;4,0;5,0;1,0;3,0;4,0
Estudiante 555;3,0;0,0;2,0;4,0;5,0
Estudiante 556;5,0;1,0;3,0;5,0;5,0
Estudiante 557;1,0;3,0;1,0;0,0;5,0
Estudiante 558;1,0;0,0;5,0;4,0;4,0
Estudiante 559;4,0;0,0;2,0;3,0;3,0
Estudiante 560;4,0;4,0;2,0;3,0;2,0
Estudiante 561;3,0;2,0;3,0;5,0;1,0
Estudiante 562;3,0;3,0;3,0;0,0;4,0
Estudiante 563;2,0;4,0;3,0;2,0;4,0
Estudiante 564;4,0;2,0;4,0;1,0;0,0
Estudiante 565;3,0;4,0;2,0;3,0;5,0
Estudiante 566;5,0;1,0;4,0;1,0;4,0
Estudiante 567;2,0;5,0;0,0;4,0;5,0
Estudiante 568;1,0;4,0;4,0;1,0;5,0
Estudiante 569;3,0;1,0;4,0;5,0;0,0
Estudiante 570;2,0;0,0;3,0;0,0;3,0
Estudiante 571;1,0;2,0;3,0;4,0;0,0
Estudiante 572;2,0;0,0;1,0;0,0;1,0
Estudiante 573;3,0;2,0;3,0;3,0;0,0
Estudiante 574;1,0;4,0;4,0;4,0;5,0
Estudiante 575;2,0;2,0;5,0;4,0;1,0
Estudiante 576;4,0;5,0;5,0;3,0;1,0
Estudiante 577;5,0;2,0;1,0;5,0;2,0
Estudiante 578;3,0;3,0;0,0;0,0;4,0
Estudiante 579;5,0;2,0;4,0;0,0;4,0
Estudiante 580;1,0;2,0;3,0;3,0;2,0
Estudiante 581;1,0;3,0;4,0;4,0;4,0
Estudiante 582;0,0;0,0;2,0;4,0;1,0
Estudiante 583;0,0;4,0;2,0;3,0;1,0
Estudiante 584;0,0;4,0;3,0;5,0;3,0
Estudiante 585;3,0;1,0;4,0;3,0;3,0
Estudiante 586;4,0;4,0;3,0;2,0;1,0
Estudiante 587;3,0;1,0;1,0;4,0;2,0
Estudiante 588;1,0;2,0;3,0;3,0;4,0
Estudiante 589;0,0;3,0;5,0;2,0;1,0
Estudiante 590;5,0;3,0;5,0;4,0;1,0
Estudiante 591;0,0;2,0;1,0;2,0;5,0
Estudiante 592;0,0;4,0;5,0;3,0;4,0
Estudiante 593;4,0;3,0;5,0;5,0;2,0
Estudiante 594;5,0;0,0;2,0;2,0;4,0
Estudiante 595;5,0;0,0;1,0;3,0;2,0
Estudiante 596;3,0;1,0;5,0;3,0;1,0
Estudiante 597;0,0;4,0;2,0;5,0;4,0
Estudiante 598;2,0;4,0;5,0;2,0;2,0
Estudiante 599;2,0;4,0;2,0;4,0;5,0
Estudiante 600;2,0;2,0;3,0;1,0;2,0
Estudiante 601;1,0;2,0;1,0;1,0;1,0
Estudiante 602;2,0;3,0;5,0;2,0;0,0
Estudiante 603;0,0;3,0;0,0;3,0;0,0
Estudiante 604;1,0;4,0;4,0;0,0;0,0
Estudiante 605;3,0;3,0;4,0;3,0;5,0
Estudiante 606;2,0;1,0;1,0;3,0;5,0
Estudiante 607;3,0;0,0;4,0;3,0;5,0
Estudiante 608;5,0;0,0;4,0;3,0;2,0
Estudiante 609;5,0;1,0;0,0;2,0;5,0
Estudiante 610;0,0;1,0;1,0;3,0;2,0
Estudiante 611;4,0;0,0;2,0;2,0;4,0
Estudiante 612;5,0;2,0;2,0;2,0;2,0
Estudiante 613;1,0;3,0;0,0;0,0;4,0
Estudiante 614;4,0;4,0;5,0;2,0;3,0
Estudiante 615;2,0;2,0;1,0;5,0;3,0
Estudiante 616;4,0;0,0;5,0;3,0;3,0
Estudiante 617;3,0;2,0;0,0;2,0;2,0
Estudiante 618;3,0;4,0;0,0;1,0;0,0
Estudiante 619;5,0;1,0;3,0;2,0;4,0
Estudiante 620;5,0;4,0;4,0;1,0;5,0
Estudiante 621;3,0;0,0;4,0;4,0;3,0
Estudiante 622;3,0;0,0;4,0;3,0;0,0
Estudiante 623;5,0;5,0;3,0;1,0;1,0
Estudiante 624;5,0;4,0;5,0;4,0;0,0
Estudiante 625;0,0;5,0;0,0;0,0;3,0
Estudiante 626;4,0;4,0;4,0;5,0;5,0
Estudiante 627;0,0;4,0;1,0;1,0;0,0
Estudiante 628;5,0;3,0;5,0;3,0;1,0
Estudiante 629;0,0;3,0;2,0;3,0;5,0
Estudiante 630;4,0;4,0;2,0;2,0;5,0
Estudiante 631;0,0;1,0;3,0;5,0;4,0
Estudiante 632;0,0;5,0;1,0;5,0;1,0
Estudiante 633;1,0;3,0;1,0;3,0;0,0
Estudiante 634;2,0;2,0;3,0;1,0;2,0
Estudiante 635;1,0;4,0;0,0;0,0;1,0
Estudiante 636;5,0;2,0;0,0;4,0;2,0
Estudiante 637;4,0;5,0;3,0;1,0;1,0
Estudiante 638;2,0;1,0;4,0;4,0;0,0
Estudiante 639;3,0;5,0;3,0;0,0;2,0
Estudiante 640;2,0;1,0;5,0;2,0;1,0
Estudiante 641;1,0;5,0;3,0;2,0;3,0
Estudiante 642;0,0;5,0;0,0;3,0;5,0
Estudiante 643;0,0;0,0;5,0;3,0;2,0
Estudiante 644;1,0;4,0;1,0;5,0;1,0
Estudiante 645;5,0;5,0;5,0;5,0;5,0
Estudiante 646;1,0;4,0;5,0;3,0;1,0
Estudiante 647;5,0;3,0;4,0;2,0;1,0
Estudiante 648;0,0;1,0;3,0;1,0;4,0
Estudiante 649;5,0;1,0;4,0;5,0;1,0
Estudiante 650;5,0;3,0;4,0;0,0;5,0
Estudiante 651;3,0;4,0;1,0;4,0;4,0
Estudiante 652;3,0;0,0;1,0;2,0;5,0
Estudiante 653;2,0;0,0;1,0;0,0;3,0
Estudiante 654;2,0;5,0;2,0;5,0;0,0
Estudiante 655;5,0;0,0;3,0;1,0;2,0
Estudiante 656;1,0;0,0;2,0;0,0;1,0
Estudiante 657;1,0;0,0;4,0;4,0;2,0
Estudiante 658;4,0;1,0;5,0;0,0;4,0
Estudiante 659;2,0;4,0;3,0;2,0;1,0
Estudiante 660;1,0;1,0;2,0;1,0;5,0
Estudiante 661;0,0;0,0;0,0;5,0;3,0
Estudiante 662;5,0;0,0;3,0;4,0;2,0
Estudiante 663;4,0;0,0;0,0;2,0;4,0
Estudiante 664;2,0;4,0;5,0;0,0;2,0
Estudiante 665;3,0;1,0;0,0;5,0;2,0
Estudiante 666;4,0;2,0;4,0;4,0;3,0
Estudiante 667;2,0;4,0;3,0;5,0;5,0
Estudiante 668;1,0;3,0;5,0;2,0;0,0
Estudiante 669;5,0;2,0;3,0;5,0;4,0
Estudiante 670;0,0;0,0;2,0;1,0;2,0
Estudiante 671;3,0;1,0;1,0;4,0;3,0
Estudiante 672;5,0;4,0;1,0;4,0;4,0
Estudiante 673;4,0;4,0;0,0;3,0;4,0
Estudiante 674;0,0;3,0;2,0;0,0;1,0
Estudiante 675;0,0;2,0;3,0;4,0;4,0
Estudiante 676;5,0;0,0;1,0;0,0;1,0
Estudiante 677;0,0;1,0;2,0;3,0;2,0
Estudiante 678;0,0;5,0;3,0;5,0;4,0
Estudiante 679;1,0;0,0;1,0;4,0;3,0
Estudiante 680;1,0;3,0;4,0;2,0;0,0
Estudiante 681;2,0;1,0;0,0;4,0;5,0
Estudiante 682;3,0;3,0;3,0;2,0;3,0
Estudiante 683;5,0;3,0;0,0;2,0;0,0
Estudiante 684;1,0;1,0;2,0;0,0;2,0
Estudiante 685;4,0;1,0;2,0;4,0;2,0
Estudiante 686;5,0;2,0;4,0;5,0;2,0
Estudiante 687;3,0;2,0;0,0;5,0;3,0
Estudiante 688;3,0;3,0;0,0;1,0;1,0
Estudiante 689;0,0;4,0;4,0;5,0;2,0
Estudiante 690;0,0;5,0;3,0;3,0;5,0
